certificate_no,customer_no,customer_name,city,state,customer_type
96-R-0001,15,UNIVERSITY OF ALASKA FAIRBANKS,FAIRBANKS,AK,RESEARCH FACILITY
96-R-0005,1693,S.A.A.M.S.,SEWARD,AK,RESEARCH FACILITY
96-R-0006,38530,UNIVERSITY OF ALASKA - ANCHORAGE,ANCHORAGE,AK,RESEARCH FACILITY
64-R-0001,878,SOUTHERN RESEARCH INSTITUTE,BIRMINGHAM,AL,RESEARCH FACILITY
64-R-0002,857,TUSKEGEE UNIVERSITY,TUSKEGEE INST,AL,RESEARCH FACILITY
64-R-0004,832,UNIVERSITY OF ALABAMA AT BIRMINGHAM,BIRMINGHAM,AL,RESEARCH FACILITY
64-R-0005,833,AUBURN UNIVERSITY,AUBURN,AL,RESEARCH FACILITY
64-R-0008,854,UNIVERSITY OF SOUTH ALABAMA,MOBILE,AL,RESEARCH FACILITY
64-R-0009,834,UNIVERSITY OF ALABAMA,TUSCALOOSA,AL,RESEARCH FACILITY
64-R-0018,835,SOUTHERN BIOTECHNOLOGY ASSOCIATES INC,BIRMINGHAM,AL,RESEARCH FACILITY
64-R-0102,928,BLUE RIDGE KENNEL,WETUMPKA,AL,RESEARCH FACILITY
71-G-0001,334026,HARRY K DUPREE,STUTTGART,AR,AGRICULTURE RESEARCH FACILITY
71-G-0002,334300,DALE BUMPERS SMALL FARMS RESEARCH CENTER,BOONEVILLE,AR,AGRICULTURE RESEARCH FACILITY
71-R-0001,1470,UNIVERSITY OF ARKANSAS,FAYETTEVILLE,AR,RESEARCH FACILITY
71-R-0011,1457,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,LITTLE ROCK,AR,RESEARCH FACILITY
71-R-0012,1456,UNIVERSITY OF ARKANSAS - LITTLE ROCK,LITTLE ROCK,AR,RESEARCH FACILITY
71-R-0100,1408,ARKANSAS CHILDREN'S RESEARCH INSTITUTE,LITTLE ROCK,AR,RESEARCH FACILITY
71-R-0104,8977,UNIVERSITY OF THE OZARKS,CLARKSVILLE,AR,RESEARCH FACILITY
71-R-0106,1419,HENDRIX COLLEGE,CONWAY,AR,RESEARCH FACILITY
71-R-0107,25517,BERTEK INC.,GREENBRIER,AR,RESEARCH FACILITY
71-R-0110,1409,ARKANSAS STATE UNIVERSITY - BEEBE,BEEBE,AR,RESEARCH FACILITY
71-R-0111,41479,TIER 1 GROUP LLC,CRAWFORDSVILLE,AR,RESEARCH FACILITY
71-R-0112,20222,UNIVERSITY OF CENTRAL ARKANSAS,CONWAY,AR,RESEARCH FACILITY
86-R-0002,1043,ARIZONA STATE UNIVERSITY,TEMPE,AZ,RESEARCH FACILITY
86-R-0003,1044,THE UNIVERSITY OF ARIZONA,TUCSON,AZ,RESEARCH FACILITY
86-R-0005,1045,NORTHERN ARIZONA UNIVERSITY,FLAGSTAFF,AZ,RESEARCH FACILITY
86-R-0006,1049,DIGNITY HEALTH,PHOENIX,AZ,RESEARCH FACILITY
86-R-0009,1051,W. L. GORE & ASSOCIATES INC.,FLAGSTAFF,AZ,RESEARCH FACILITY
86-R-0033,15053,PIMA COMMUNITY COLLEGE- EAST CAMPUS,TUCSON,AZ,RESEARCH FACILITY
86-R-0036,34846,MESA COMMUNITY COLLEGE,MESA,AZ,RESEARCH FACILITY
86-R-0039,43543,SENES TECH INC.,FLAGSTAFF,AZ,RESEARCH FACILITY
86-R-0042,329220,PIMA MEDICAL INSTITUTE,TUCSON,AZ,RESEARCH FACILITY
86-R-0043,331699,WESTERN MARICOPA EDUCATION CENTER,GLENDALE,AZ,RESEARCH FACILITY
93-R-0003,1183,SUTTER INSTITUTE FOR MEDICAL RESEARCH,SACRAMENTO,CA,RESEARCH FACILITY
93-R-0004,1190,STANFORD UNIVERSITY,PALO ALTO,CA,RESEARCH FACILITY
93-R-0006,1186,LOMA LINDA UNIVERSITY,LOMA LINDA,CA,RESEARCH FACILITY
93-R-0007,1187,CITY OF HOPE NATIONAL MEDICAL CENTER,DUARTE,CA,RESEARCH FACILITY
93-R-0011,1191,SABAN RESEARCH INSTITUTE OF CHILDRENS HOSPITAL,LOS ANGELES,CA,RESEARCH FACILITY
93-R-0015,1192,SCRIPPS RESEARCH INSTITUTE,LA JOLLA,CA,RESEARCH FACILITY
93-R-0016,1189,LOS ANGELES BIOMEDICAL RESEARCH INSTITUTE,TORRANCE,CA,RESEARCH FACILITY
93-R-0020,1185,UNIVERSITY OF SOUTHERN CALIFORNIA,LOS ANGELES,CA,RESEARCH FACILITY
93-R-0026,1182,S R I INTERNATIONAL,MENLO PARK,CA,RESEARCH FACILITY
93-R-0028,1181,CALIFORNIA INSTITUTE OF TECHNOLOGY,PASADENA,CA,RESEARCH FACILITY
93-R-0032,1179,CEDARS-SINAI MEDICAL CENTER,LOS ANGELES,CA,RESEARCH FACILITY
93-R-0035,1177,CALIFORNIA INSTITUTE FOR MEDICAL RESEARCH,SAN JOSE,CA,RESEARCH FACILITY
93-R-0036,1176,HUNTINGTON MEDICAL RESEARCH INSTITUTE,PASADENA,CA,RESEARCH FACILITY
93-R-0050,1173,UNIVERSITY OF THE PACIFIC,STOCKTON,CA,RESEARCH FACILITY
93-R-0053,1172,PIERCE COLLEGE,WOODLAND HILLS,CA,RESEARCH FACILITY
93-R-0066,1169,SALK INSTITUTE FOR BIOLOGICAL STUDIES,LA JOLLA,CA,RESEARCH FACILITY
93-R-0067,1168,ALLERGAN,IRVINE,CA,RESEARCH FACILITY
93-R-0074,1167,BECKMAN COULTER INC.,WINCHESTER,CA,RESEARCH FACILITY
93-R-0080,1165,COSUMNES RIVER COLLEGE,SACRAMENTO,CA,RESEARCH FACILITY
93-R-0084,1162,POMONA COLLEGE,CLAREMONT,CA,RESEARCH FACILITY
