sound	source	issue	date	page
AAAAGH! EEEEEOOOW ACK! UGH UGH MMP AGH! AEEK	REMOVAL OF A DEEP ROOTED TOOTH	66	OCTOBER 1961	PAGE 20
AAAK AAK	BUSY CITY PEOPLE COUGHING	164	JAN 1974	PAGE 33
AAEEFWOFAAEE	ONE OF TARZAN'S SPECIAL ANIMAL CALLS	245	MARCH 1984	PAGE 42
AAGH	INDIANS GETTING SHOT	121	SEPTEMBER 1968	PAGE 15
AAHT AAHHT BLOOOOT	BUSY CITY HORNS	164	JAN 1974	PAGE 33
ACK	INDIANS GETTING SHOT	121	SEPTEMBER 1968	PAGE 15
ACK	MAN CHOKING	268	JANUARY 1987	PAGE 42
ACK GAK GARK!	MAN HAVING A HEART ATTACK	228	JAN 1982	BACK COVER
AGH! UGH! ARG!	MAN STRUGGLING WITH A FISHING POLE	202	OCT 1978	PAGE 34
AHH- AHH- AHH ... THOONOONN	IRON MAN SNEEZING INSIDE HIS IRON MASK	210	OCT 1979	PAGE 20
AHHHHHHHHHH	FRANKENSTEIN INHALING	239	JUNE 1983	PAGE 49
AHWEEEEEE-AK	A COW HORN	85	MAR 1964	PAGE 48
AK	MAN CHOKING	268	JANUARY 1987	PAGE 42
ALING	ALARM CLOCK	31	FEBRUARY 1957	PAGE 36
ALING ALING	ALARM CLOCK	31	FEBRUARY 1957	PAGE 36
ALING ALING!	ALARM CLOCK	31	FEBRUARY 1957	PAGE 36
ALING!	ALARM CLOCK	31	FEBRUARY 1957	PAGE 36
AOOGA AOOOGA AOOOGA AOOGA	TRUCK HORN	95	JUNE 1965	PAGE 29
APPLAUD YEA!	AUDIENCE	55	JUNE 1960	PAGE 8
ARARAGH!!	LARGE LION IN GORILLA SUIT GROWLING	65	SEPTEMBER 1961	PAGE 44
ARARGH!!	LARGE GORILLA GROWL	65	SEPTEMBER 1961	PAGE 44
ARGLE GLARGLE GLORGLE GLUK	PRINCESS USING MOUTHWASH	190	APR 1977	INSIDE BACK COVER
ARRARGH WAMP BLAMP OOF YUG	A LADY AND THE HULK MAKING LOVE	221	MARCH 1981	PAGE 17
ARRARGH YAK FITZROWER RIP	TARZAN FIGHTING WITH LEOPARD	211	DEC 1979	BACK COVER
ARRARGH!	MAN TURNING INTO A WEREWOLF	263	JUNE 1986	PAGE 12
ARRARGH! RIP TEAR	BANNER TURNING INTO THE HULK	221	MARCH 1981	PAGE 16
ARRARGHNNARRGH	AN ENTIRE DIALOGUE SCRIPT FOR THE HULK	210	OCT 1979	PAGE 21
ARRARGLE!	THE HULK CALLING A WAITER	221	MARCH 1981	PAGE 16
ARRGH!	GAGGED MAN TRYING TO TALK	272	JULY 1987	PAGE 43
AWK	MAN HAVING A HEART ATTACK	136	JULY 1970	PAGE 48
AWK GAK ARGH GASP	PATIENT CHOKING	175	JUNE 1975	PAGE 42
AWK!	BRIDE	265	SEPTEMBER 1986	PAGE 31
AWK!	GROOM	265	SEPTEMBER 1986	PAGE 32
BAHOO BAHOO BAHOO	CAPT. KIRK CRYING	251	DEC 1984	PAGE 32
BAM BAM BOOM BOOM	SALESMAN POUNDING AND KICKING A DOOR	218	OCT 1980	PAGE 39
BAM!	LIGHTNING	57	SEPTEMBER 1960	PAGE 11
BAM-BAM BAM BAM BAM	PRISONERS POUNDING FISTS ON DINING TABLE	67	DECEMBER 1961	PAGE 48
BAP	AN EXTENSION ARM LAUNCHED BOXING GLOVE HITTING A DOCTOR IN THE FACE	70	APRIL 1962	PAGE 9
BAP-KRAK KIK HIT	ROBIN HOOD GIVING LITTLE JOHN A PUMMELING	71	JUNE 1962	PAGE 29
BARF BARF	SANDY WITH A COLD, WARNING ANNIE OF A RAPIST HIDING IN THE CLOSET	210	OCT 1979	PAGE 21
B-B-B-BORFFT!	PORKY PIG BELCHING AFTER A BIG MEAL	210	OCT 1979	PAGE 22
BBBLPLAST	HUMAN ORGAN MUSIC	273	SEPTEMBER 1987	PAGE 13
BBFRPRAFPGHPP	DOCTOR FARTING	110	APR 67	PAGE 10
BBLLBBLLBBLLBBLLBBLL	MAN MAKING LIP SOUNDS	270	APRIL 1987	PAGE 35
